S10,S11,S1,S2,S3,S4,S5,S6,S7,S8,S9
80.67227005958557,67.27549433708191,78.82689833641052,69.5770800113678,60.76335906982422,68.68131756782532,52.9496431350708,48.0701744556427,69.6739137172699,73.3137845993042,74.8975396156311
60.29411554336548,65.44901132583618,58.941346406936646,55.25238513946533,65.8015251159668,51.37362480163574,55.53956627845764,56.25730752944946,61.3043487071991,62.365591526031494,54.610657691955566
82.21288323402405,88.88888955116272,69.67095732688904,70.66848278045654,77.25191116333008,68.81868243217468,79.8561155796051,81.52046799659729,91.4130449295044,79.56989407539368,82.37704634666443
90.1260495185852,65.75342416763306,83.97710919380188,58.25375318527222,68.70229244232178,76.92307829856873,69.4964051246643,79.64912056922913,72.50000238418579,56.59824013710022,91.39344096183777
98.03921580314636,94.82496380805969,96.13733887672424,93.31514239311218,83.81679654121399,80.90659379959106,91.65467619895935,89.59064483642578,99.0217387676239,94.428151845932,99.07786846160889
77.80112028121948,77.01674103736877,73.24749827384949,73.80627393722534,72.36641049385071,69.09340620040894,75.68345069885254,74.38596487045288,74.0217387676239,78.69012951850891,77.97130942344666
61.13445162773132,62.70928382873535,55.93705177307129,52.38744616508484,61.67938709259033,50.137364864349365,47.48201370239258,53.801167011260986,61.95651888847351,59.33528542518616,54.40573692321777
64.77590799331665,78.8432240486145,79.68526482582092,69.5770800113678,65.34351110458374,73.48901033401489,59.42445993423462,56.725144386291504,77.9347836971283,74.87781047821045,75.51229596138
75.35014152526855,90.41095972061157,64.80686664581299,63.30150365829468,57.55724906921387,62.08791136741638,66.18704795837402,63.39181065559387,84.89130139350891,63.24535608291626,71.51639461517334
60.29411554336548,64.53576683998108,53.075820207595825,63.574349880218506,60.15267372131348,53.98351550102234,52.37410068511963,54.50292229652405,63.804346323013306,66.17791056632996,65.88114500045776
60.364145040512085,47.33637869358063,44.49213147163391,50.20464062690735,62.44274973869324,43.13186705112457,49.49640333652496,48.42105209827423,53.2608687877655,52.199411392211914,53.89344096183777
66.73669219017029,64.99239206314087,79.68526482582092,75.03410577774048,61.37404441833496,64.83516693115234,48.633092641830444,53.567248582839966,66.7391300201416,69.50146555900574,71.51639461517334
92.507004737854,83.86605978012085,76.10872387886047,74.21555519104004,70.22900581359863,74.86263513565063,67.05036163330078,72.16374278068542,88.2608711719513,68.52394938468933,91.49590134620667
53.50140333175659,47.33637869358063,41.05865657329559,39.563438296318054,48.702290654182434,49.86263811588287,42.014387249946594,48.0701744556427,48.0434775352478,44.183772802352905,47.438523173332214
72.47899174690247,77.625572681427,68.66952776908875,66.439288854599,69.92366313934326,59.8901093006134,63.59712481498718,78.01169753074646,72.7173924446106,68.13294291496277,79.71311211585999
74.50980544090271,74.42922592163086,82.2603702545166,80.49113154411316,72.06106781959534,60.98901033401489,83.88489484786987,79.4152021408081,88.4782612323761,74.2913007736206,84.52869057655334
50.6302535533905,47.33637869358063,41.05865657329559,38.47203254699707,48.702290654182434,43.13186705112457,42.014387249946594,48.0701744556427,48.0434775352478,44.183772802352905,45.38934528827667
87.60504126548767,84.01826620101929,81.11587762832642,83.76534581184387,72.97710180282593,68.54395866394043,70.79136967658997,66.90058708190918,76.1956512928009,73.99804592132568,82.68442749977112
90.47619104385376,77.01674103736877,81.25894069671631,82.12823867797852,76.33587718009949,80.2197813987732,87.19424605369568,76.25731229782104,80.54347634315491,84.06646847724915,88.83196711540222
80.11204600334167,76.7123281955719,75.53648352622986,71.48703932762146,74.65648651123047,67.85714030265808,76.5467643737793,76.25731229782104,78.47825884819031,72.3362684249878,84.32376980781555
72.54902124404907,69.8630154132843,61.23033165931702,58.117324113845825,65.34351110458374,61.12637519836426,67.62589812278748,65.9649133682251,71.9565212726593,66.95992350578308,77.56147384643555
50.6302535533905,47.33637869358063,41.05865657329559,38.47203254699707,48.702290654182434,43.13186705112457,42.014387249946594,48.0701744556427,48.0434775352478,44.183772802352905,45.38934528827667
50.6302535533905,31.0502290725708,39.48497772216797,39.29058611392975,26.564884185791016,34.065935015678406,42.014387249946594,33.09941589832306,33.043476939201355,44.183772802352905,45.38934528827667
50.6302535533905,31.0502290725708,39.48497772216797,39.29058611392975,26.564884185791016,34.065935015678406,42.014387249946594,33.09941589832306,33.043476939201355,35.874876379966736,45.38934528827667
50.6302535533905,31.0502290725708,39.48497772216797,39.29058611392975,26.564884185791016,34.065935015678406,42.014387249946594,33.09941589832306,33.043476939201355,35.874876379966736,45.38934528827667
60.64425706863403,67.42770075798035,59.08440351486206,68.34924817085266,68.54962110519409,55.21978139877319,48.3453243970871,54.85380291938782,75.7608711719513,71.55424952507019,71.92623019218445
76.40056014060974,52.20699906349182,69.38483715057373,63.84720206260681,56.03053569793701,57.55494236946106,56.4028799533844,60.818713903427124,54.347825050354004,57.575756311416626,65.16393423080444
60.57422757148743,68.9497709274292,69.24177408218384,66.98499321937561,66.71755909919739,54.25823926925659,46.18704915046692,55.20467758178711,81.0869574546814,71.16324305534363,71.92623019218445
61.62465214729309,53.120243549346924,56.652361154556274,56.48021697998047,56.79389238357544,51.51098966598511,55.25180101394653,54.50292229652405,61.195653676986694,50.43988227844238,66.59836173057556
50.6302535533905,47.33637869358063,47.92560935020447,40.65484404563904,48.702290654182434,48.763737082481384,42.014387249946594,48.0701744556427,58.91304612159729,44.183772802352905,45.38934528827667
